"Scenario","Response"
"Engine Diagnostic","Engine is operating within normal parameters."
"Brake System Diagnostic","Brake pads need replacement soon."
"Transmission Diagnostic","Transmission fluid level is normal."
"Oil Level Diagnostic","Oil level is satisfactory."
"Tire Pressure Diagnostic","Tire pressure is low in the rear left tire."
"Coolant Level Diagnostic","Coolant level is low, refill required."
"Battery Health Diagnostic","Battery health is good."
"Air Filter Diagnostic","Air filter needs replacement."
"Alignment Diagnostic","Vehicle alignment is off, service required."
"Exhaust System Diagnostic","Exhaust system is operating normally."
"Fuel System Diagnostic","Fuel system is operating normally."
"Suspension System Diagnostic","Suspension system is operating normally."
"Electrical System Diagnostic","Electrical system diagnostic shows a fault in the ABS system."
"Drive Belt Diagnostic","Drive belt condition is good."
"Charging System Diagnostic","Charging system is operating normally."
"Clutch System Diagnostic","Clutch system is operating normally."
"Gearbox Diagnostic","Gearbox is operating normally."
"Radiator Diagnostic","Radiator is functioning properly."
"Steering System Diagnostic","Steering system is operating normally."
"AC System Diagnostic","AC system is low on refrigerant."
"Windshield Wiper Diagnostic","Windshield wiper blades need replacement."
"Headlight Diagnostic","Left headlight bulb needs replacement."
"Tail Light Diagnostic","Tail lights are operating normally."
"Airbag System Diagnostic","Airbag system is operating normally."
"Navigation System Diagnostic","Navigation system is operating normally."
"Infotainment System Diagnostic","Infotainment system is operating normally."
"Sensor Diagnostic","Front right proximity sensor is malfunctioning."
"Camera Diagnostic","Rearview camera is operating normally."
"Lidar System Diagnostic","Lidar system is operating normally."
"GPS System Diagnostic","GPS system is acquiring signal."
"Fuel Filter Diagnostic","Fuel filter is in good condition."
"Spark Plug Diagnostic","Spark plugs need replacement."
"Oxygen Sensor Diagnostic","Oxygen sensor is operating normally."
"Throttle Body Diagnostic","Throttle body needs cleaning."
"Fuel Injector Diagnostic","Fuel injectors are operating normally."
"Vehicle Stability System Diagnostic","Vehicle stability system is operating normally."
"Catalytic Converter Diagnostic","Catalytic converter is operating normally."
"Ignition System Diagnostic","Ignition system is operating normally."
"Timing Belt Diagnostic","Timing belt is in good condition."
"Drive Shaft Diagnostic","Drive shaft is operating normally."
"Wheel Bearing Diagnostic","Wheel bearings are operating normally."
"Shock Absorber Diagnostic","Shock absorbers need replacement."
"Brake Fluid Diagnostic","Brake fluid level is satisfactory."
"Brake Rotor Diagnostic","Brake rotors need replacement."
"Brake Caliper Diagnostic","Brake calipers are operating normally."
"Transmission Fluid Diagnostic","Transmission fluid needs replacement."
"Differential Fluid Diagnostic","Differential fluid level is satisfactory."
"Power Steering Fluid Diagnostic","Power steering fluid level is satisfactory."
"Antifreeze Coolant Diagnostic","Antifreeze coolant level is normal."
"Hybrid System Diagnostic","Hybrid system is operating normally."
"EV Battery Diagnostic","EV battery state of charge is 80%."
"Fuel Economy Diagnostic","Current fuel economy is 25 MPG."
"Vehicle Speed Sensor Diagnostic","Vehicle speed sensor is operating normally."
"Vehicle Emission Control Diagnostic","Vehicle is passing emission control standards."
