"Scenario","Response"
"Voice Command: Find Gas Station","Searching for nearest gas station."
"Voice Command: Play Music","Playing your preferred playlist."
"Voice Command: What's the Weather?","Fetching current weather conditions."
"Voice Command: Call Home","Calling home."
"Voice Command: Send Message","What message would you like to send?"
"Voice Command: Find Restaurant","Searching for nearby restaurants."
"Voice Command: Set Destination","Please provide the destination address."
"Voice Command: What’s My ETA?","Your estimated time of arrival is 6:45 PM."
"Voice Command: Change Temperature","What temperature would you like to set?"
"Voice Command: Turn On Seat Heater","Turning on seat heater."
"Voice Command: Open Sunroof","Opening sunroof."
"Voice Command: Close Sunroof","Closing sunroof."
"Voice Command: Check Traffic","Checking traffic conditions."
"Voice Command: Find Alternate Route","Searching for an alternate route."
"Voice Command: Nearest Charging Station","Locating nearest charging station."
"Voice Command: Check Battery Level","Battery level is at 75%."
"Voice Command: Activate Windshield Wipers","Activating windshield wipers."
"Voice Command: Deactivate Windshield Wipers","Deactivating windshield wipers."
"Voice Command: Enable Sports Mode","Sports mode enabled."
"Voice Command: Disable Sports Mode","Sports mode disabled."
"Voice Command: Activate Cruise Control","Cruise control activated."
"Voice Command: Deactivate Cruise Control","Cruise control deactivated."
"Voice Command: Check Tire Pressure","Tire pressure is normal."
"Voice Command: Nearest Restroom","Locating nearest restroom."
"Voice Command: Find Parking Spot","Searching for available parking spots."
"Voice Command: Activate Parking Mode","Parking mode activated."
"Voice Command: Deactivate Parking Mode","Parking mode deactivated."
"Voice Command: Check Vehicle Status","Vehicle status is normal."
"Voice Command: Activate Autopilot","Autopilot activated."
"Voice Command: Deactivate Autopilot","Autopilot deactivated."
"Voice Command: Increase Speed","Increasing speed."
"Voice Command: Decrease Speed","Decreasing speed."
"Voice Command: Activate Headlights","Headlights activated."
"Voice Command: Deactivate Headlights","Headlights deactivated."
"Voice Command: Set Navigation","Please provide the destination address."
"Voice Command: Cancel Navigation","Navigation cancelled."
"Voice Command: Resume Navigation","Resuming navigation."
"Voice Command: Pause Navigation","Navigation paused."
"Voice Command: Nearest Hospital","Locating nearest hospital."
"Voice Command: Nearest Police Station","Locating nearest police station."
"Voice Command: Call Roadside Assistance","Calling roadside assistance."
"Voice Command: Activate Alarm","Alarm activated."
"Voice Command: Deactivate Alarm","Alarm deactivated."
"Voice Command: Vehicle Lock","Vehicle locked."
"Voice Command: Vehicle Unlock","Vehicle unlocked."
"Voice Command: Activate Child Lock","Child lock activated."
"Voice Command: Deactivate Child Lock","Child lock deactivated."
"Voice Command: Set Driver Profile","Driver profile set."
"Voice Command: Change Driver Profile","Please provide the new driver profile."
"Voice Command: Add New Driver Profile","Please provide details for the new driver profile."
"Voice Command: Delete Driver Profile","Driver profile deleted."
"Voice Command: Adjust Seat Position","Adjusting seat position."
"Voice Command: Adjust Mirror Position","Adjusting mirror position."
"Voice Command: Increase Volume","Increasing volume."
"Voice Command: Decrease Volume","Decreasing volume."
"Voice Command: Mute Audio","Audio muted."
"Voice Command: Unmute Audio","Audio unmuted."
"Voice Command: Change Radio Station","Please specify the radio station."
"Voice Command: Next Song","Playing next song."
"Voice Command: Previous Song","Playing previous song."
"Voice Command: Repeat Song","Repeating song."
"Voice Command: Shuffle Playlist","Shuffling playlist."
"Voice Command: Play Genre","Please specify the genre."
"Voice Command: Enable WiFi","WiFi enabled."
"Voice Command: Disable WiFi","WiFi disabled."
"Voice Command: Connect to Network","Please provide the network credentials."
"Voice Command: Disconnect from Network","Network disconnected."
"Voice Command: Enable Bluetooth","Bluetooth enabled."
"Voice Command: Disable Bluetooth","Bluetooth disabled."
"Voice Command: Connect to Phone","Please ensure your phone's Bluetooth is on."
"Voice Command: Disconnect from Phone","Phone disconnected."
"Voice Command: Read Messages","Reading messages."
"Voice Command: Enable Do Not Disturb","Do Not Disturb enabled."
"Voice Command: Disable Do Not Disturb","Do Not Disturb disabled."
"Voice Command: Show Notifications","Showing notifications."
"Voice Command: Hide Notifications","Hiding notifications."
"Voice Command: Enable Dark Mode","Dark mode enabled."
"Voice Command: Disable Dark Mode","Dark mode disabled."
"Voice Command: Enable Rearview Camera","Rearview camera enabled."
"Voice Command: Disable Rearview Camera","Rearview camera disabled."
"Voice Command: Enable Surround View","Surround view enabled."
"Voice Command: Disable Surround View","Surround view disabled."
"Voice Command: Show Vehicle Diagnostics","Showing vehicle diagnostics."
"Voice Command: Hide Vehicle Diagnostics","Hiding vehicle diagnostics."
"Voice Command: Enable Eco Mode","Eco mode enabled."
"Voice Command: Disable Eco Mode","Eco mode disabled."
"Voice Command: Enable Performance Mode","Performance mode enabled."
"Voice Command: Disable Performance Mode","Performance mode disabled."
"Voice Command: Enable Snow Mode","Snow mode enabled."
"Voice Command: Disable Snow Mode","Snow mode disabled."
"Voice Command: Enable Traction Control","Traction control enabled."
"Voice Command: Disable Traction Control","Traction control disabled."
"Voice Command: Enable Lane Assist","Lane assist enabled."
"Voice Command: Disable Lane Assist","Lane assist disabled."
"Voice Command: Enable Collision Avoidance","Collision avoidance enabled."
"Voice Command: Disable Collision Avoidance","Collision avoidance disabled."
"Voice Command: Enable Adaptive Lighting","Adaptive lighting enabled."
"Voice Command: Disable Adaptive Lighting","Adaptive lighting disabled."
"Voice Command: Enable Privacy Glass","Privacy glass enabled."
"Voice Command: Disable Privacy Glass","Privacy glass disabled."
"Voice Command: Enable Ambient Lighting","Ambient lighting enabled."
"Voice Command: Disable Ambient Lighting","Ambient lighting disabled."
"Voice Command: Enable Rear Seat Entertainment","Rear seat entertainment enabled."
"Voice Command: Disable Rear Seat Entertainment","Rear seat entertainment disabled."
