"Scenario","Response"
"Oil Change Reminder","Reminder: Oil change due in 500 miles."
"Tire Rotation Reminder","It's time for a tire rotation."
"Brake Inspection Reminder","Brake inspection is due."
"Air Filter Replacement Reminder","Air filter replacement is due."
"Coolant Level Low","Coolant level is low, please refill."
"Transmission Fluid Level","Transmission fluid level is normal."
"Windshield Wiper Replacement Reminder","Windshield wipers are due for replacement."
"Headlight Bulb Out","Warning: Left headlight bulb is out."
"Check Engine Light","Check engine light is on, please schedule a service."
"Vehicle Inspection Reminder","Annual vehicle inspection is due."
"Battery Health Check","Battery health is good, next check in 3 months."
"Spark Plug Replacement Reminder","It's time to replace the spark plugs."
"Belt and Chain Inspection","Belts and chains inspection is due."
"Alignment Check Reminder","Alignment check is due."
"Exhaust System Check","Exhaust system check is due."
"Tire Pressure Low","Tire pressure low on rear right wheel."
"Brake Pad Wear","Brake pads are wearing thin, replacement soon is advised."
"Fuel Filter Replacement Reminder","Fuel filter replacement is due."
"Suspension System Check","Suspension system check is due."
"Software Update Available","Software update available for vehicle systems."
"Recall Notification","Recall notice: Your vehicle is eligible for a safety recall."
"Fluid Levels Check","Fluid levels check is due."
"Drivetrain Inspection","Drivetrain inspection is due."
"Steering System Check","Steering system check is due."
"Cabin Air Filter Replacement Reminder","Cabin air filter replacement is due."
"Clutch Adjustment Reminder","Clutch adjustment is needed."
"Clean Air System Check","Clean air system check is due."
"Emissions Test Reminder","Emissions test is due."
"Fuel System Check","Fuel system check is due."
"Replace Serpentine Belt Reminder","Serpentine belt replacement is due."
"Replace Timing Belt Reminder","Timing belt replacement is due."
"Chassis Lubrication Reminder","Chassis lubrication is due."
"Check Automatic Transmission Fluid Level","Automatic transmission fluid level check is due."
"Radiator Flush Reminder","Radiator flush is due."
"Replace Brake Fluid Reminder","Brake fluid replacement is due."
"Replace Power Steering Fluid Reminder","Power steering fluid replacement is due."
"Inspect Fuel Cap Reminder","Fuel cap inspection is due."
"Inspect Vehicle Lights Reminder","Vehicle lights inspection is due."
"Inspect Shock Absorbers Reminder","Shock absorbers inspection is due."
"Inspect Exhaust System Reminder","Exhaust system inspection is due."
"Inspect Fuel Tank Reminder","Fuel tank inspection is due."
"Inspect Evaporative Control System Reminder","Evaporative control system inspection is due."
"Inspect Brake System Reminder","Brake system inspection is due."
"Inspect Horn Reminder","Horn inspection is due."
"Inspect Cooling System Reminder","Cooling system inspection is due."
"Inspect Electrical System Reminder","Electrical system inspection is due."
"Inspect Ignition System Reminder","Ignition system inspection is due."
"Inspect Restraint Systems Reminder","Restraint systems inspection is due."
"Inspect Seats and Restraints Reminder","Seats and restraints inspection is due."
"Inspect Air Bag System Reminder","Air bag system inspection is due."
"Inspect Doors and Latches Reminder","Doors and latches inspection is due."
"Inspect Sunroof and Convertible Top Reminder","Sunroof and convertible top inspection is due."
"Replace Battery Reminder","Battery replacement is due."
"Inspect Engine Cooling System Reminder","Engine cooling system inspection is due."
"Inspect Propeller Shaft Reminder","Propeller shaft inspection is due."
"Inspect Differential Oil Reminder","Differential oil inspection is due."
