"Scenario","Response"
"Battery Health","Battery health is good."
"Motor Efficiency","Motor efficiency is at optimal levels."
"Charging System","Charging system is functioning properly."
"Coolant Level","Coolant level is normal."
"Engine Temperature","Engine temperature is within normal range."
"Oil Level","Oil level is normal."
"Tire Pressure","Tire pressure is low in the rear right tire."
"Brake Pad Wear","Brake pads have 30% life remaining."
"Transmission Fluid Level","Transmission fluid level is normal."
"Air Filter Status","Air filter needs replacement."
"Windshield Wiper Fluid","Windshield wiper fluid is full."
"Suspension System","Suspension system is functioning properly."
"Exhaust System","Exhaust system is functioning normally."
"Fuel Filter Status","Fuel filter is in good condition."
"Alignment","Vehicle alignment is within specifications."
"Drive Belt Condition","Drive belt condition is good."
"Spark Plug Condition","Spark plugs are in good condition."
"Steering System","Steering system is functioning properly."
"Vehicle Lights","All vehicle lights are operational."
"Air Conditioning System","Air conditioning system is functioning properly."
"Heating System","Heating system is functioning properly."
"Vehicle Sensors","All vehicle sensors are operational."
"Fuel Efficiency","Fuel efficiency is at optimal levels."
"Fuel Level","Fuel level is low."
"Cabin Air Filter","Cabin air filter needs replacement."
"Vehicle Software","Vehicle software is up to date."
"Drive Shaft Condition","Drive shaft condition is normal."
"CV Joint Condition","CV joint condition is good."
"Shock Absorbers","Shock absorbers are functioning properly."
"Strut Condition","Strut condition is normal."
"Brake Fluid Level","Brake fluid level is normal."
"Clutch Fluid Level","Clutch fluid level is normal."
"Power Steering Fluid","Power steering fluid level is normal."
"Radiator Condition","Radiator condition is good."
"Throttle System","Throttle system is functioning properly."
"Fuel Pump Functionality","Fuel pump is functioning properly."
"Catalytic Converter Functionality","Catalytic converter is functioning properly."
"Oxygen Sensor Functionality","Oxygen sensor is functioning properly."
"Vehicle Connectivity","Vehicle connectivity systems are operational."
"Navigation System","Navigation system is operational."
"Backup Camera","Backup camera is operational."
"Adaptive Cruise Control System","Adaptive cruise control system is functioning properly."
"Automatic Emergency Braking System","Automatic emergency braking system is functioning properly."
"Blind Spot Monitoring System","Blind spot monitoring system is functioning properly."
"Lane Keeping Assistance System","Lane keeping assistance system is functioning properly."
"Vehicle Anti-theft System","Vehicle anti-theft system is active."
"Airbag System","Airbag system is operational."
"Vehicle Recall Status","No active recalls for your vehicle."
"Hybrid System Functionality","Hybrid system is functioning properly."
"Electric Motor Functionality","Electric motor is functioning properly."
"Charging Port Functionality","Charging port is functioning properly."
"Vehicle Structural Integrity","Vehicle structural integrity is uncompromised."
"Drivetrain Functionality","Drivetrain is functioning properly."
