"Scenario","Response"
"Unauthorized Access","Warning: Unauthorized access detected."
"Security System Activation","Security system activated."
"Vehicle Locator","Vehicle located at [coordinates]."
"Theft Alarm","Theft alarm triggered, notifying authorities."
"Door Lock","All doors locked."
"Door Unlock","Driver's door unlocked."
"Remote Lock","Vehicle locked remotely."
"Remote Unlock","Vehicle unlocked remotely."
"Intrusion Detection","Possible intrusion detected, alert sent to your phone."
"Glass Break Detection","Glass break detected, alarm activated."
"Security System Deactivation","Security system deactivated."
"Security System Test","Security system test complete, all systems operational."
"Security Camera Activation","Security cameras activated."
"Security Camera Footage Access","Accessing security camera footage."
"Emergency SOS","Emergency SOS activated, notifying emergency services."
"Panic Button Activation","Panic button activated, alarm sounding."
"Vehicle Immobilization","Vehicle immobilization activated."
"Vehicle Tracking Activation","Vehicle tracking activated."
"Geo-Fencing Alert","Vehicle has exited the designated area, geo-fencing alert sent."
"Valet Mode Activation","Valet mode activated, vehicle speed and access restricted."
"Valet Mode Deactivation","Valet mode deactivated."
"Child Safety Lock Activation","Child safety locks activated."
"Child Safety Lock Deactivation","Child safety locks deactivated."
"Vehicle Boot-up Security Check","Vehicle boot-up security check completed successfully."
"Biometric Access","Biometric access granted."
"Biometric Access Denied","Biometric access denied."
"Remote Start","Vehicle started remotely."
"Remote Shutdown","Vehicle shutdown remotely."
"Key Fob Detected","Key fob detected, welcome [user name]."
"Key Fob Not Detected","Key fob not detected, access denied."
"Key Fob Battery Low","Key fob battery low, please replace."
"Anti-Theft Mode Activation","Anti-theft mode activated."
"Anti-Theft Mode Deactivation","Anti-theft mode deactivated."
"Perimeter Surveillance Activation","Perimeter surveillance activated."
"Perimeter Surveillance Deactivation","Perimeter surveillance deactivated."
"Smart Alarm Activation","Smart alarm activated."
"Smart Alarm Deactivation","Smart alarm deactivated."
"Tire Lock Activation","Tire lock activated."
"Tire Lock Deactivation","Tire lock deactivated."
"Security System Update Available","Security system update available, would you like to update now?"
"Security System Update Complete","Security system update completed successfully."
"Security System Update Failed","Security system update failed, please try again."
"Security Incident Report","Security incident report generated."
"Secure Idle Activation","Secure idle activated."
"Secure Idle Deactivation","Secure idle deactivated."
"Engine Immobilizer Activation","Engine immobilizer activated."
"Engine Immobilizer Deactivation","Engine immobilizer deactivated."
"Remote Access Authorization","Remote access authorization granted."
"Remote Access Denial","Remote access denied."
"Remote Access Request","Remote access request received."
"Temporary Access Code Generated","Temporary access code generated for [user name]."
"Temporary Access Code Expiration","Temporary access code expired."
