"Scenario","Response"
"Collision Warning","Object detected ahead. Taking evasive action."
"System Alert","Tire pressure low on rear right wheel."
"Emergency Procedure","Emergency braking activated. Please take control."
"Pedestrian Alert","Pedestrian detected. Slowing down."
"Cross Traffic Alert","Cross traffic detected. Waiting to proceed."
"Bicycle Alert","Bicycle detected on right side. Passing cautiously."
"Adverse Weather","Adverse weather detected. Adjusting driving mode."
"Animal Alert","Animal detected on roadway. Slowing down."
"Road Obstruction","Road obstruction detected. Rerouting."
"Emergency Vehicle","Emergency vehicle detected. Pulling over."
"Blind Spot Warning","Vehicle in blind spot. Caution advised."
"Unsafe Following Distance","Following distance unsafe. Adjusting."
"Brake Failure","Brake system failure detected. Please take control."
"Steering Failure","Steering system failure detected. Please take control."
"Airbag Deployment","Airbags deployed. Contacting emergency services."
"Vehicle Overturn","Vehicle overturn detected. Contacting emergency services."
"Vehicle Fire","Vehicle fire detected. Exit immediately."
"Electrical System Alert","Electrical system malfunction. Service required."
"Unsafe Road Conditions","Unsafe road conditions detected. Slowing down."
"Anti-lock Braking System Alert","ABS malfunction. Service required."
"Child Safety Lock","Child safety lock engaged."
"Rear Door Alert","Rear door open while driving. Please secure door."
"Vehicle Security Alert","Potential break-in detected. Alerting authorities."
"Tire Blowout","Tire blowout detected. Maintain control and pull over."
"Headlight Malfunction","Headlight malfunction detected. Service required."
"Unauthorized Driver","Unauthorized driver detected. Alerting authorities."
"Driver Medical Emergency","Driver medical emergency detected. Contacting help."
"Fuel Leak","Fuel leak detected. Pull over and exit vehicle."
"Lane Departure","Unintended lane departure detected. Correcting."
"Speed Warning","Exceeding recommended speed. Adjusting."
"Vehicle Stability Alert","Vehicle stability compromised. Adjusting."
"Backup Camera Alert","Backup camera malfunction. Service required."
"Driver Assistance System Alert","Driver assistance system malfunction."
"Proximity Alert","Proximity alert. Object too close."
"Road Sign Recognition","Stop sign ahead. Preparing to stop."
"Highway Exit Alert","Highway exit approaching. Preparing to exit."
"Unsecured Cargo","Unsecured cargo detected. Please secure cargo."
"Adaptive Headlight Alert","Adaptive headlight malfunction. Service required."
"Auto-Pilot Disengagement","Auto-pilot disengaged. Please take control."
"Sensor Obstruction","Sensor obstruction detected. Please clear sensor."
"Vehicle Communication Failure","Vehicle communication failure detected."
"Restricted Zone Alert","Entering restricted zone. Please take control."
"Seat Belt Reminder","Seat belt not fastened. Please fasten seat belt."
"Passenger Airbag Off","Passenger airbag off. Safety compromised."
"Driver Attention Alert","Driver attention level low. Please focus."
"Engine Overheat","Engine overheating detected. Please pull over."
"Transmission Overheat","Transmission overheating detected. Service required."
"Low Brake Fluid","Low brake fluid detected. Service required."
"Coolant Level Low","Coolant level low. Service required."
"Adaptive Cruise Control Failure","Adaptive Cruise Control failure detected."
"Navigation System Failure","Navigation system failure detected. Manual input required."
"Vehicle-to-Vehicle Communication Failure","V2V communication failure detected."
"Suspension System Alert","Suspension system malfunction detected."
"Unauthorized Remote Access","Unauthorized remote access detected. Alerting authorities."
