"Scenario","Response"
"Oil Change Reminder","Reminder: Oil change due in 500 miles."
"Tire Rotation Reminder","It's time for a tire rotation."
"Brake Inspection Reminder","Brake inspection is due."
"Annual Inspection Reminder","Your annual vehicle inspection is due in 30 days."
"Air Filter Replacement Reminder","Air filter replacement is due."
"Coolant Level Low","Coolant level is low, please refill."
"Transmission Fluid Reminder","Transmission fluid change is due."
"Check Engine Light","Check engine light is on. Please schedule a service."
"Windshield Wiper Replacement Reminder","It's time to replace the windshield wipers."
"Headlight Bulb Replacement Reminder","Headlight bulb replacement is due."
"Battery Health Check","Battery health check is due."
"Alignment Check Reminder","Alignment check is due."
"Spark Plug Replacement Reminder","Spark plug replacement is due."
"Fuel Filter Replacement Reminder","Fuel filter replacement is due."
"Serpentine Belt Replacement Reminder","Serpentine belt replacement is due."
"Brake Pad Replacement Reminder","Brake pad replacement is due."
"Brake Fluid Level Low","Brake fluid level is low, please refill."
"Cabin Air Filter Replacement Reminder","Cabin air filter replacement is due."
"Vehicle Recall Notification","Notification: Your vehicle has a recall for [recall_description]."
"Tire Pressure Low","Tire pressure is low on rear right tire."
"Fuel System Cleaning Reminder","Fuel system cleaning is due."
"Exhaust System Check Reminder","Exhaust system check is due."
"Vehicle Emissions Test Reminder","Vehicle emissions test is due."
"Radiator Flush Reminder","Radiator flush is due."
"Power Steering Fluid Check Reminder","Power steering fluid check is due."
"Transmission Service Reminder","Transmission service is due."
"Shock and Strut Inspection Reminder","Shock and strut inspection is due."
"Timing Belt Replacement Reminder","Timing belt replacement is due."
"Drive Belt Check Reminder","Drive belt check is due."
"Throttle Body Cleaning Reminder","Throttle body cleaning is due."
"Oxygen Sensor Replacement Reminder","Oxygen sensor replacement is due."
"Wheel Alignment Reminder","Wheel alignment is due."
"Steering and Suspension Inspection Reminder","Steering and suspension inspection is due."
"Vehicle Detailing Reminder","Vehicle detailing appointment is scheduled for next week."
"Window Washer Fluid Low","Window washer fluid is low, please refill."
"Clutch Fluid Check Reminder","Clutch fluid check is due."
"Differential Fluid Check Reminder","Differential fluid check is due."
"Battery Replacement Reminder","Battery replacement is due."
"PCV Valve Replacement Reminder","PCV valve replacement is due."
"Tire Tread Depth Check Reminder","Tire tread depth check is due."
"Drivetrain Inspection Reminder","Drivetrain inspection is due."
"Preventive Maintenance Reminder","Preventive maintenance appointment is scheduled for next month."
"Fuel Injector Cleaning Reminder","Fuel injector cleaning is due."
"Drive Belt Replacement Reminder","Drive belt replacement is due."
"Transfer Case Fluid Check Reminder","Transfer case fluid check is due."
"Wheel Bearing and Hub Assembly Check Reminder","Wheel bearing and hub assembly check is due."
"Electrical System Inspection Reminder","Electrical system inspection is due."
"Valve Clearance Adjustment Reminder","Valve clearance adjustment is due."
"Air Conditioning System Check Reminder","Air conditioning system check is due."
"Engine Air Filter Replacement Reminder","Engine air filter replacement is due."
"Automatic Transmission Fluid Change Reminder","Automatic transmission fluid change is due."
